customer_id,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2
17746,6620.0,1.0,0 days 00:00:00.000000000,,,,,,
17784,,,,7277.0,1.0,0 days 00:00:00.000000000,,,
17865,,,,,,,3444.0,1.0,0 days 00:00:00.000000000
17878,2484.0,1.0,0 days 00:00:00.000000000,,,,,,
17980,,,,6382.0,2.0,1 days 00:00:00.000000000,,,
18009,2014.0,1.0,0 days 00:00:00.000000000,,,,,,
18139,,,,2664.0,1.0,0 days 00:00:00.000000000,,,
18226,10135.0,1.0,0 days 00:00:00.000000000,,,,,,
18261,,,,2014.0,1.0,0 days 00:00:00.000000000,,,
18314,2534.0,1.0,0 days 00:00:00.000000000,,,,,,
18465,,,,,,,2469.0,1.0,1 days 00:00:00.000000000
18521,,,,,,,2274.0,1.0,1 days 00:00:00.000000000
18527,4807.0,1.0,2 days 00:00:00.000000000,,,,,,
18586,,,,,,,7176.0,1.0,2 days 00:00:00.000000000
18625,,,,,,,4521.0,1.0,2 days 00:00:00.000000000
18934,,,,3054.0,1.0,0 days 00:00:00.000000000,,,
18979,4679.0,1.0,0 days 00:00:00.000000000,,,,5541.0,1.0,0 days 00:00:00.000000000
19017,17806.0,4.0,2 days 00:00:00.000000000,,,,,,
19130,3812.0,1.0,2 days 00:00:00.000000000,,,,,,
19221,,,,,,,2209.0,1.0,1 days 00:00:00.000000000
19246,,,,,,,45360.0,1.0,11 days 00:00:00.000000000
19274,,,,,,,10979.0,1.0,0 days 00:00:00.000000000
19309,,,,4157.0,1.0,0 days 00:00:00.000000000,,,
19363,,,,,,,2599.0,1.0,1 days 00:00:00.000000000
19531,10787.0,1.0,0 days 00:00:00.000000000,,,,,,
19536,8511.0,4.0,2 days 00:00:00.000000000,,,,4060.0,2.0,2 days 00:00:00.000000000
19588,,,,2469.0,1.0,1 days 00:00:00.000000000,,,
19760,,,,1888.0,1.0,1 days 00:00:00.000000000,,,
19783,,,,2794.0,1.0,1 days 00:00:00.000000000,,,
19795,,,,1888.0,1.0,1 days 00:00:00.000000000,,,
19943,,,,3574.0,1.0,1 days 00:00:00.000000000,,,
19960,,,,,,,5004.0,1.0,1 days 00:00:00.000000000
19964,4547.0,1.0,0 days 00:00:00.000000000,,,,,,
19988,,,,,,,1477.0,1.0,0 days 00:00:00.000000000
20003,,,,1624.0,1.0,1 days 00:00:00.000000000,,,
20026,7992.0,3.0,3 days 00:00:00.000000000,,,,,,
20133,5718.0,2.0,1 days 00:00:00.000000000,,,,2339.0,1.0,1 days 00:00:00.000000000
20154,3184.0,1.0,1 days 00:00:00.000000000,,,,,,
20223,,,,1993.0,1.0,1 days 00:00:00.000000000,,,
20319,,,,13056.0,1.0,7 days 00:00:00.000000000,,,
20387,,,,,,,9617.0,1.0,2 days 00:00:00.000000000
20408,2534.0,1.0,1 days 00:00:00.000000000,,,,,,
20597,11955.0,1.0,0 days 00:00:00.000000000,8576.0,1.0,3 days 00:00:00.000000000,,,
20754,,,,2664.0,1.0,1 days 00:00:00.000000000,,,
20855,,,,5068.0,2.0,1 days 00:00:00.000000000,,,
20992,,,,,,,2079.0,1.0,1 days 00:00:00.000000000
21016,2599.0,1.0,1 days 00:00:00.000000000,,,,,,
21052,4028.0,2.0,2 days 00:00:00.000000000,,,,,,
21072,,,,,,,1970.0,1.0,0 days 00:00:00.000000000
21152,2014.0,1.0,1 days 00:00:00.000000000,2129.0,1.0,0 days 00:00:00.000000000,,,
21196,,,,,,,4399.0,2.0,1 days 00:00:00.000000000
21219,,,,5717.0,1.0,2 days 00:00:00.000000000,,,
21366,,,,5199.0,1.0,1 days 00:00:00.000000000,,,
21418,1689.0,1.0,0 days 00:00:00.000000000,,,,1949.0,1.0,0 days 00:00:00.000000000
21595,5458.0,2.0,2 days 00:00:00.000000000,,,,,,
21651,,,,,,,7145.0,1.0,3 days 00:00:00.000000000
21661,,,,,,,2766.0,1.0,1 days 00:00:00.000000000
21667,3224.0,1.0,2 days 00:00:00.000000000,,,,,,
21694,6757.0,3.0,0 days 00:00:00.000000000,,,,2404.0,1.0,1 days 00:00:00.000000000
21716,11308.0,2.0,1 days 00:00:00.000000000,11178.0,2.0,2 days 00:00:00.000000000,6369.0,1.0,0 days 00:00:00.000000000
21854,6343.0,2.0,0 days 00:00:00.000000000,4094.0,2.0,2 days 00:00:00.000000000,,,
21954,,,,,,,1993.0,1.0,0 days 00:00:00.000000000
22257,3444.0,1.0,0 days 00:00:00.000000000,,,,,,
22380,,,,,,,2404.0,1.0,1 days 00:00:00.000000000
22534,,,,,,,15614.0,3.0,3 days 00:00:00.000000000
22782,,,,2209.0,1.0,1 days 00:00:00.000000000,,,
22844,,,,2664.0,1.0,1 days 00:00:00.000000000,,,
22852,,,,2534.0,1.0,0 days 00:00:00.000000000,,,
22963,4093.0,2.0,1 days 00:00:00.000000000,4548.0,2.0,0 days 00:00:00.000000000,4743.0,2.0,1 days 00:00:00.000000000
23250,2014.0,1.0,1 days 00:00:00.000000000,,,,,,
23393,,,,4679.0,1.0,0 days 00:00:00.000000000,,,
23457,2274.0,1.0,1 days 00:00:00.000000000,,,,,,
23493,,,,2370.0,1.0,1 days 00:00:00.000000000,2404.0,1.0,1 days 00:00:00.000000000
23503,2859.0,1.0,1 days 00:00:00.000000000,,,,4743.0,2.0,1 days 00:00:00.000000000
23689,,,,4287.0,1.0,0 days 00:00:00.000000000,,,
23705,7472.0,1.0,2 days 00:00:00.000000000,,,,,,
23806,3704.0,2.0,0 days 00:00:00.000000000,,,,,,
23899,,,,,,,2274.0,1.0,1 days 00:00:00.000000000
23913,9032.0,3.0,1 days 00:00:00.000000000,,,,,,
24154,,,,2729.0,1.0,0 days 00:00:00.000000000,,,
24582,1949.0,1.0,1 days 00:00:00.000000000,4966.0,1.0,2 days 00:00:00.000000000,2859.0,1.0,1 days 00:00:00.000000000
24587,,,,1754.0,1.0,1 days 00:00:00.000000000,,,
24613,4159.0,1.0,1 days 00:00:00.000000000,,,,,,
24749,,,,2192.0,1.0,1 days 00:00:00.000000000,,,
24838,2209.0,1.0,1 days 00:00:00.000000000,,,,,,
24964,,,,2079.0,1.0,1 days 00:00:00.000000000,,,
25162,,,,,,,3509.0,1.0,0 days 00:00:00.000000000
25479,2729.0,1.0,0 days 00:00:00.000000000,,,,13514.0,3.0,1 days 00:00:00.000000000
25734,,,,2989.0,1.0,0 days 00:00:00.000000000,,,
25797,,,,,,,4677.0,1.0,0 days 00:00:00.000000000
25812,,,,3769.0,1.0,0 days 00:00:00.000000000,,,
25876,,,,17934.0,2.0,0 days 00:00:00.000000000,2144.0,1.0,1 days 00:00:00.000000000
25889,,,,,,,2924.0,1.0,1 days 00:00:00.000000000
26072,3897.0,1.0,2 days 00:00:00.000000000,,,,,,
26179,2101.0,1.0,1 days 00:00:00.000000000,,,,,,
26389,,,,7927.0,3.0,3 days 00:00:00.000000000,9031.0,4.0,4 days 00:00:00.000000000
26536,8054.0,2.0,4 days 00:00:00.000000000,,,,,,
26820,2274.0,1.0,0 days 00:00:00.000000000,,,,,,
26860,,,,2469.0,1.0,1 days 00:00:00.000000000,,,
26893,,,,,,,1559.0,1.0,0 days 00:00:00.000000000
27112,,,,6237.0,1.0,2 days 00:00:00.000000000,,,
27204,14945.0,3.0,2 days 00:00:00.000000000,,,,,,
27291,2729.0,1.0,1 days 00:00:00.000000000,,,,,,
27328,,,,14360.0,1.0,3 days 00:00:00.000000000,,,
27435,,,,5197.0,1.0,0 days 00:00:00.000000000,,,
27465,,,,5134.0,1.0,0 days 00:00:00.000000000,,,
27492,,,,2794.0,1.0,1 days 00:00:00.000000000,9980.0,5.0,1 days 00:00:00.000000000
27527,,,,3833.0,2.0,1 days 00:00:00.000000000,,,
27876,,,,2283.0,1.0,1 days 00:00:00.000000000,,,
27905,,,,2664.0,1.0,1 days 00:00:00.000000000,3986.0,1.0,1 days 00:00:00.000000000
28143,27288.0,2.0,9 days 00:00:00.000000000,,,,,,
